,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
501,03.31.03.05.04.09,77.29.16.000
502,01.15.03.16,17.23.13.193
503,01.15.05.04.08,22.29.25.000
504,01.10.01.01.02,19.20.21.300
505,01.12.04.02.05,29.10.59.130
506,01.19.01.08,14.39.10.190
507,01.19.02.05,14.14.13
508,01.19.02.07,14.39.10.190
509,01.19.02.09,14.13.12.130
510,01.19.02.15,14.13.11.120
511,01.19.02.16,14.14.30.110
512,01.19.03.01,14.19.11.110
513,01.20.01.01,27.51.28.130
514,01.20.01.02,27.51.27.000
515,01.20.01.99.04,27.51.21.129
516,01.20.01.99.07,27.51.12.000
517,01.20.01.99.09,27.51.21.129
518,03.08,38
519,03.31.03.05.01.04,43.99.90.160
520,03.31.03.05.01.09,43.99.90.160
521,03.31.03.05.02.31,77.32.10.000
522,03.31.03.05.04.02,77.29.16.000
523,01.12.07,25.73.10.000
524,01.01.12.02,03.11.42
525,01.12.01.17,28.92.27.190
526,01.15.06.05,22.29.25
527,01.15.08.03,58.19.14.110
528,01.20.01.99.08,27.51.15.120
529,02.05.02.06.01,42.21
530,02.12,33.20.39.900
531,02.13.02.67,33.20.39.900
532,02.17.05,96.09.19.139
533,02.17.05.05,96.09.19.139
534,02.17.06.01,96.09.19.139
535,03.08.05,80.10.19.000
536,03.33.03,49
537,01.20.03.03.05,25.99.29
538,01.20.07.09.02,22.29.29
539,01.31,01.11.11.111
540,01.15.05.17,13.92.29
541,01.15.05.03.01,32.99.16.110
542,01.15.05.07.02,16.29.14.190
543,01.01.01.19.04,10.82.14.000
544,01.01.09,01.47.21
545,01.01.10.07.01,10.52.10.110
546,01.01.11.99,10.20
547,01.02.03.01.05,14.12
548,01.02.03.03.04,14.12
549,01.08.01.18,30.92.1
550,02.03.02.08.05,41.20.40
551,02.04.03.03.02,42.21
552,03.07.01.04.04,91.04.12
553,03.07.05,33.12.29.900
554,03.07.07.01.01.02,33.12.29.900
555,03.07.99.06,33.12.29.900
556,03.08.02,81.29.11
557,03.14.05,65.12.90.000
558,03.22.08,62.01.11.000
559,03.23.01.02,68.31.16.120
560,03.41.04,52.23.11
561,01.11.03.01.04,24.4
562,01.20.06.01.03,23.13.12
563,01.02.06.02.04,32.50.13.190
564,01.02.06.03.02.01.02,20.59.52.199
565,01.02.06.03.11.01,20.59.52.192
566,01.02.06.04.08,32.50.13.190
567,01.02.06.04.09,32.50.13.190
568,01.02.06.04.11,32.50.13.190
569,01.02.06.04.15,20.59.52.199
570,01.04.02.03,14.12.12.110
571,01.08.01.01.07,26.52.12.140
572,01.20.04.04,20.41.41
573,02.02.01.01.05,71.11.22
574,02.03.02.02.03,41.20.40
575,03.11.03,35.13.1
576,03.04.01.01.02,87.30.12
577,01.11.03.01.04.02,24.42
578,01.20.03.04.01,22.29
579,01.20.05.01.06,20.42.16
580,01.20.07.09.03,16.29.14.190
581,01.02.06.05.01,32.50.13.190
582,01.02.06.07.01,32.50.13.190
583,01.02.09.01.03,21.20.10.113
584,01.02.09.01.04,21.20.10.110
585,01.02.09.03.03,21.20.10.143
586,01.02.09.04.07,21.20.10.157
587,01.02.09.06.01,21.20.10.181
588,01.02.09.06.03,21.20.10.182
589,01.15.07,22.29.25.000
590,01.15.07.05,25.99.22.110
591,01.16.18,31.01.13.000
592,01.18.02,01.19.21.190
593,01.18.03,01.30.10.120
594,01.18.06,23.70.11.120
595,01.18.08,01.19.31.169
596,01.19.01.02,14.13.14.150
597,01.02.09.06.05,21.20.10.184
598,01.02.09.07.01,21.20.10.191
599,01.02.09.09.01,21.20.10.221
600,01.02.09.10.04,21.20.10.234
601,01.02.09.10.07,21.20.10.239
602,01.02.09.11.03,21.20.10.243
603,01.03,27.90.1
604,01.03.01,30.20.40.180
605,01.03.01.07,26.30.50.120
606,01.03.01.08,26.30.50.120
607,01.03.02.04,27.90.20.120
608,01.03.07,27.90.70.000
